2.528901077888869864e-01,2.021893550550499796e-01,1.816937884510105850e-01,7.685951951271197125e-02,4.461487761501948812e-01
2.932910181351865431e-01,3.051043831072264290e-01,4.150595099727072412e-01,2.021024552720807055e-01,7.337986261612324812e-01
8.482035258782147924e-01,7.017517062101372716e-01,8.143653091025800927e-01,1.385206542863207657e-01,3.359084723943358552e-01
1.601976088743463089e-01,2.477200834348758374e-01,9.791992464524813533e-01,5.043151362800178950e-01,1.806675384601849066e-01
9.655653511458583971e-03,4.963669720045731371e-01,6.516916419217740897e-01,3.136421073338095944e-01,6.763205856321199416e-01
2.954627826263056534e-02,8.018636179697938848e-01,9.417357003357962331e-01,7.326153367812716644e-01,3.554744154693419977e-01
5.553561053794395797e-01,8.440404694276315567e-03,6.111714874346290127e-01,8.846939427893968366e-01,3.597154788531331526e-02
4.357383582474274597e-01,2.443625965588078763e-01,2.602711146602755266e-01,4.871294118761299030e-01,4.537220653216885724e-01
5.458535200828904532e-01,5.192239911455945878e-01,4.744702485905248901e-01,5.523541149266110173e-01,2.606914265741290260e-01
4.336516484321207843e-01,7.137332303203813844e-02,5.732949245362239932e-02,7.969030000842624029e-01,9.096248552553086730e-01
1.121633966235231483e-01,2.632677376000694958e-01,7.212806566906065919e-01,7.470760102232526512e-01,7.544051432079698083e-01
2.638701758627479688e-01,5.928964185709116874e-01,4.967847027861953535e-01,7.086039353067998814e-01,6.612533625842553775e-02
5.524888695180204534e-01,3.408529679287759517e-01,5.852330426530356622e-01,8.537482431726703958e-01,4.809900241446097846e-01
3.652518493879561845e-01,2.213971780403372058e-01,5.272650369978800766e-01,8.523861895545831180e-01,7.902075021283267997e-01
2.208054074642654685e-01,5.124534369473834339e-01,2.025178314759047415e-01,7.205908421549183096e-01,1.319128023601754407e-01
